iter	Passed	Remaining
0	368	367655
1	639	319245
2	929	309061
3	1286	320336
4	1643	326974
5	2001	331649
6	2330	330650
7	2501	310149
8	2876	316730
9	2974	294442
10	3332	299655
11	3553	292576
12	3912	297086
13	4081	287472
14	4226	277566
15	4349	267513
16	4641	268363
17	4921	268519
18	5093	262972
19	5377	263520
20	5666	264167
21	5893	262000
22	6192	263053
23	6541	266023
24	6853	267272
25	7076	265078
26	7272	262084
27	7587	263399
28	7863	263297
29	8206	265330
30	8510	266013
31	8796	266108
32	9055	265344
33	9318	264754
34	9612	265016
35	9912	265433
36	10222	266068
37	10415	263681
38	10728	264371
39	10864	260752
40	11214	262305
41	11421	260509
42	11705	260521
43	12043	261665
44	12379	262723
45	12516	259578
46	12667	256860
47	12967	257192
48	13066	253600
49	13201	250835
50	13460	250472
51	13678	249372
52	14026	250630
53	14298	250486
54	14442	248147
55	14762	248852
56	15141	250504
57	15470	251260
58	15603	248855
59	15905	249181
60	16168	248885
61	16320	246917
62	16423	244261
63	16621	243095
64	16941	243700
65	17257	244218
66	17576	244754
67	17921	245635
68	18226	245927
69	18441	245010
70	18662	244193
71	18981	244646
72	19351	245740
73	19511	244156
74	19724	243273
75	19940	242439
76	20301	243359
77	20363	240709
78	20635	240569
79	20932	240727
80	21063	238983
81	21400	239580
82	21492	237451
83	21856	238342
84	21982	236636
85	22306	237067
86	22409	235167
87	22631	234549
88	22904	234447
89	23262	235204
