iter	MultiClass
0	-1.353650351
1	-1.323891385
2	-1.296810387
3	-1.271341437
4	-1.247849638
5	-1.225919259
6	-1.205425097
7	-1.186266747
8	-1.167824425
9	-1.150495721
10	-1.133927123
11	-1.119032854
12	-1.104896912
13	-1.0916389
14	-1.079318853
15	-1.067507224
16	-1.056513475
17	-1.046073238
18	-1.036019152
19	-1.025969712
20	-1.016761599
21	-1.00775832
22	-0.999468038
23	-0.9922886058
24	-0.984129584
25	-0.976343351
26	-0.9693904058
27	-0.9629197609
28	-0.9556032916
29	-0.9495472431
30	-0.9430881731
31	-0.9370110037
32	-0.9311739423
33	-0.9253639254
34	-0.920076442
35	-0.9154944435
36	-0.9102619477
37	-0.9060507492
38	-0.9024463808
39	-0.8980748901
40	-0.8939288042
41	-0.8896937976
42	-0.8862495683
43	-0.8824812396
44	-0.8788955882
45	-0.8750494033
46	-0.8719764145
47	-0.8695880008
48	-0.8667487312
49	-0.8630928014
50	-0.8602450984
51	-0.8573443281
52	-0.8553546692
53	-0.8525682568
54	-0.84994746
55	-0.8477407422
56	-0.8455505336
57	-0.8433897038
58	-0.8413416933
59	-0.8391776532
60	-0.8368736385
61	-0.8350615868
62	-0.8328118659
63	-0.8309438381
64	-0.8295946123
65	-0.8279634563
66	-0.8264355808
67	-0.8251074404
68	-0.8238769479
69	-0.8220982504
70	-0.8206063201
71	-0.8191513929
72	-0.8177991805
73	-0.8165159837
74	-0.8152606125
75	-0.8139875221
76	-0.8125306009
77	-0.8110374887
78	-0.8097297232
79	-0.8085934847
80	-0.8073152081
81	-0.8058572645
82	-0.8042919279
83	-0.8033509178
84	-0.8022238419
85	-0.8015123455
86	-0.8008741118
87	-0.7999714237
88	-0.7991490537
89	-0.7983733873
90	-0.7976178249
91	-0.7967950707
92	-0.7959303009
93	-0.7952141548
94	-0.794463534
95	-0.7936615968
96	-0.7928774311
97	-0.7918393915
98	-0.7910460384
99	-0.7901846369
100	-0.7896560007
101	-0.7886711123
102	-0.7876481362
103	-0.786878765
104	-0.7863664915
105	-0.7859280861
106	-0.7851270356
107	-0.784537704
108	-0.7838197983
109	-0.7833052561
110	-0.7827951975
111	-0.782183307
112	-0.7817097302
113	-0.7809081538
114	-0.7802503086
115	-0.7797721977
116	-0.7793236684
117	-0.7787528343
118	-0.7781441604
119	-0.7777613922
120	-0.7770551305
121	-0.7765961185
122	-0.7757875523
123	-0.7754861322
124	-0.775265593
125	-0.7747979599
126	-0.774391528
127	-0.7740740208
128	-0.7735789398
129	-0.7732005316
130	-0.7730129273
131	-0.7727701478
132	-0.7725584482
133	-0.7722400559
134	-0.7718837228
135	-0.7716768274
136	-0.7711191302
137	-0.7706966801
138	-0.7702393533
139	-0.7698580398
140	-0.7697784084
141	-0.7695995825
142	-0.7694600623
143	-0.7691350164
144	-0.7688600007
145	-0.7683367605
146	-0.7682745341
147	-0.7679519526
148	-0.767474181
149	-0.767160003
150	-0.7668116047
151	-0.76665618
152	-0.7663978373
153	-0.7661312659
154	-0.7661291887
155	-0.7657826515
156	-0.7652973031
157	-0.7649564435
158	-0.7646609547
159	-0.764015252
160	-0.7635129583
161	-0.7632411698
162	-0.7628666271
163	-0.762558739
164	-0.7625165299
165	-0.7624067555
166	-0.7619645574
167	-0.76192942
168	-0.7615599552
169	-0.7614266712
170	-0.7612176316
171	-0.7609402439
172	-0.7609214586
173	-0.7607354
174	-0.7603997048
175	-0.7603746967
176	-0.7601671396
177	-0.7598097369
178	-0.7592620045
179	-0.7591880075
180	-0.7588422099
181	-0.7585060208
182	-0.7583497683
183	-0.7581122279
184	-0.7578047988
185	-0.7576459326
186	-0.7572997265
187	-0.7568958701
188	-0.7567617904
189	-0.7564307021
190	-0.7562062247
191	-0.7559516364
192	-0.7557004341
193	-0.7555107653
194	-0.7553572118
195	-0.7552193209
196	-0.7550549688
197	-0.7548565001
198	-0.7544831072
199	-0.7543686962
200	-0.754253041
201	-0.7538669609
202	-0.7536572117
203	-0.7536220961
204	-0.7533372914
205	-0.7531924973
206	-0.7531515783
207	-0.7531118012
208	-0.752784762
209	-0.7526702194
210	-0.7524262769
211	-0.7522026705
212	-0.7517256385
213	-0.7515246794
214	-0.7513522201
215	-0.7513371142
216	-0.7511131219
217	-0.7508616457
218	-0.7507663179
219	-0.7505717392
220	-0.7503119643
221	-0.7501439425
222	-0.7497322136
223	-0.7495362183
224	-0.7494305227
225	-0.7492257145
226	-0.7490332389
227	-0.7489524917
228	-0.7488349351
229	-0.748653826
230	-0.7484985838
231	-0.7484006296
232	-0.7482188986
233	-0.7481660424
234	-0.7478946422
235	-0.7476845183
236	-0.7474723798
237	-0.7474111147
238	-0.7472732706
239	-0.7470663867
240	-0.7467927235
241	-0.7466919933
242	-0.7463424492
243	-0.7462116382
244	-0.7459074142
245	-0.7455830811
246	-0.7453402012
247	-0.7453347928
248	-0.7451732044
249	-0.745094572
250	-0.7449268541
251	-0.7447740542
252	-0.7447163943
253	-0.7444206947
254	-0.7442833085
255	-0.7441563787
256	-0.7440703732
257	-0.7438704159
258	-0.7436343092
259	-0.7435609505
260	-0.7434023022
261	-0.7431830843
262	-0.7429935166
263	-0.7428369667
264	-0.742713858
265	-0.7427027956
266	-0.7426934861
267	-0.7424325518
268	-0.74238196
269	-0.7423819097
270	-0.7421968358
271	-0.7420932292
272	-0.7420189212
273	-0.7418279997
274	-0.741815548
275	-0.741676475
276	-0.7414409327
277	-0.7412930076
278	-0.7410825254
279	-0.7409135288
280	-0.7407896962
281	-0.740630869
282	-0.7404252268
283	-0.7403662976
284	-0.7403160087
285	-0.7402656394
286	-0.740242871
287	-0.7401406873
288	-0.7398605081
289	-0.739590828
290	-0.7395060494
291	-0.7394106852
292	-0.7393237146
293	-0.7390691019
294	-0.7390482982
295	-0.738834673
296	-0.7386347718
297	-0.7384403532
298	-0.7382499221
299	-0.7382371618
300	-0.7380185342
301	-0.7379236595
302	-0.7376599674
303	-0.7372686633
304	-0.7368883994
305	-0.7365301041
306	-0.7364214507
307	-0.7363994958
308	-0.7361059823
309	-0.7360292494
310	-0.7359311998
311	-0.7358550487
312	-0.7357100776
313	-0.735345288
314	-0.7351805952
315	-0.7350980155
316	-0.7347362711
317	-0.7346894655
318	-0.7345852274
319	-0.7342667871
320	-0.7342367754
321	-0.7341731661
322	-0.7340190991
323	-0.7335215874
324	-0.7333537371
325	-0.7330517895
326	-0.732798963
327	-0.7327203776
328	-0.7325177385
329	-0.732317134
330	-0.7319492747
331	-0.7315666538
332	-0.7313574012
333	-0.731278906
334	-0.7308826175
335	-0.7307892335
336	-0.730504975
337	-0.7303696253
338	-0.7301888622
339	-0.7300254594
340	-0.7299449416
341	-0.729378144
342	-0.7289412919
343	-0.7288478229
344	-0.728589811
345	-0.7283463295
346	-0.7280782438
347	-0.7278952655
348	-0.7277295789
349	-0.7276745906
350	-0.7273922703
351	-0.7271521186
352	-0.7269228757
353	-0.7268449533
354	-0.7267122
355	-0.7265111337
356	-0.7263383537
357	-0.7262035419
358	-0.726000521
359	-0.7258584586
360	-0.7254826463
361	-0.7254321771
362	-0.7251790371
363	-0.7247662697
364	-0.7247271852
365	-0.7242823413
366	-0.7241451934
367	-0.7239957017
368	-0.7236375674
369	-0.723363311
370	-0.7232123023
371	-0.7229297345
372	-0.7228376533
373	-0.7226652808
374	-0.7223977161
375	-0.7223543214
376	-0.7222237475
377	-0.7219614942
378	-0.7218457695
379	-0.7217139275
380	-0.7216502452
381	-0.7214675512
382	-0.7214039759
383	-0.7212475045
384	-0.7211250156
385	-0.7209578668
386	-0.7207434138
387	-0.7204869934
388	-0.7201579392
389	-0.7199962366
390	-0.7195944589
391	-0.7193631694
392	-0.7193545302
393	-0.7192509671
394	-0.7191630111
395	-0.718929791
396	-0.7187198173
397	-0.7184688448
398	-0.7182234345
399	-0.7181748772
400	-0.717907606
401	-0.7178062798
402	-0.7177275396
403	-0.7174841547
404	-0.7172081346
405	-0.7171381533
406	-0.716969963
407	-0.7168216462
408	-0.7167647173
409	-0.7165950279
410	-0.7164827097
411	-0.7163808939
412	-0.716089899
413	-0.7159391374
414	-0.7156568336
415	-0.715423553
416	-0.7151343539
417	-0.7146150221
418	-0.7141222515
419	-0.7139894164
420	-0.7139067495
421	-0.7137897974
422	-0.7135396141
423	-0.7134543815
424	-0.7133809508
425	-0.7132697735
426	-0.7130240017
427	-0.712877104
428	-0.7127564829
429	-0.7127005941
430	-0.7125864409
431	-0.7123959866
432	-0.7122056153
433	-0.7121397748
434	-0.7120473901
435	-0.7117686572
436	-0.7115982756
437	-0.7114743362
438	-0.7113609542
439	-0.711034089
440	-0.7106868933
441	-0.7105132771
442	-0.7104179227
443	-0.7102630871
444	-0.7101030044
445	-0.7098242576
446	-0.7096563767
447	-0.7094108843
448	-0.7093043573
449	-0.7091316692
450	-0.7087870177
451	-0.7085818895
452	-0.7081579297
453	-0.708106569
454	-0.7078397758
455	-0.7076712237
456	-0.7075885116
457	-0.7075474755
458	-0.7074374645
459	-0.7073598857
460	-0.7072549167
461	-0.7071411148
462	-0.7069504887
463	-0.7066612314
464	-0.7065049775
465	-0.7063636602
466	-0.7062955836
467	-0.7062476868
468	-0.7061362426
469	-0.705893087
470	-0.7057224737
471	-0.705489947
472	-0.7053347895
473	-0.7050612992
474	-0.7045321311
475	-0.7044903729
476	-0.7043890585
477	-0.7042803006
478	-0.7041530528
479	-0.703714516
480	-0.7036131188
481	-0.7034836915
482	-0.7034658123
483	-0.7033103456
484	-0.7032270395
485	-0.7030192257
486	-0.7029323636
487	-0.7027753818
488	-0.7026791785
489	-0.7024731986
490	-0.702289712
491	-0.7021457217
492	-0.7020818587
493	-0.7016870977
494	-0.7016254727
495	-0.7015822432
496	-0.7014726253
497	-0.7013996068
498	-0.7013047564
499	-0.7012841476
500	-0.7012260123
501	-0.7010431498
502	-0.7009926256
503	-0.7005781699
504	-0.7003249972
505	-0.7002259489
506	-0.7001434887
507	-0.7001068318
508	-0.6999998065
509	-0.6999704058
510	-0.6998988187
511	-0.6998663055
512	-0.6996355648
513	-0.6994091961
514	-0.6991200283
515	-0.698993875
516	-0.6988595932
517	-0.6987938517
518	-0.6986185152
519	-0.6984353879
520	-0.6982689098
521	-0.6978871403
522	-0.6975714593
523	-0.6974577221
524	-0.6974160647
525	-0.6971685713
526	-0.6970722763
527	-0.6968536888
528	-0.6966682824
529	-0.6963029674
530	-0.6960671474
531	-0.6959704691
532	-0.6958770297
533	-0.6957735118
534	-0.6956108773
535	-0.6955020687
536	-0.6953585246
537	-0.6952734287
538	-0.6951579994
539	-0.6949877297
540	-0.6948524636
541	-0.6947888706
542	-0.6947417683
543	-0.6944945607
544	-0.6943607439
545	-0.6943030115
546	-0.694117364
547	-0.6939253501
548	-0.6937173753
549	-0.6933196359
550	-0.6931308311
551	-0.6930012319
552	-0.6928116559
553	-0.6926902228
554	-0.692640533
555	-0.6925271502
556	-0.6923291524
557	-0.692201452
558	-0.6921034375
559	-0.6919410321
560	-0.6918899642
561	-0.6916927277
562	-0.6915014389
563	-0.6913501487
564	-0.6912828085
565	-0.6911321643
