iter	Passed	Remaining
0	113	119026
1	254	133314
2	507	177238
3	624	163354
4	762	159362
5	1021	177682
6	1129	168244
7	1244	162148
8	1518	175638
9	1810	188276
10	1990	187995
11	2176	188227
12	2343	186948
13	2627	194441
14	2993	206557
15	3100	200359
16	3359	204134
17	3512	201354
18	3780	205149
19	4060	209100
20	4177	204684
21	4563	213237
22	4808	214687
23	4884	208823
24	5153	211290
25	5479	215802
26	5721	216786
27	6095	222486
28	6354	223712
29	6638	225698
30	6928	227741
31	7339	233500
32	7541	232412
33	7980	238465
34	8303	240800
35	8421	237198
36	8731	239050
37	8842	235500
38	9132	236753
39	9464	238971
40	9745	239831
41	9926	238246
42	10129	237228
43	10300	235507
44	10436	233086
45	10721	234013
46	10903	232683
47	10993	229492
48	11181	228420
49	11539	230790
50	11817	231488
51	12272	235528
52	12532	235746
53	12862	237235
54	13163	238142
55	13437	238521
56	13723	239080
57	14040	240149
58	14222	238891
59	14530	239746
60	14830	240446
61	14986	238812
62	15350	240493
63	15716	242136
64	15966	241954
65	16085	239823
66	16278	238827
67	16395	236771
68	16656	236809
69	16958	237416
70	17195	237107
71	17512	237873
72	17816	238448
73	17990	237283
74	18260	237382
75	18616	238586
76	18886	238655
77	19139	238503
78	19402	238476
79	19571	237307
80	19875	237770
81	20185	238291
82	20457	238339
83	20634	237298
84	20918	237481
85	21229	237968
86	21306	235836
87	21418	234143
88	21682	234120
89	21940	234034
90	22063	232512
91	22404	233295
92	22686	233447
93	22862	232518
94	23058	231800
95	23176	230315
96	23506	230948
97	23765	230864
98	24088	231395
99	24426	232055
100	24550	230678
101	24900	231429
102	25244	232106
103	25512	232064
104	25804	232240
105	25888	230554
106	26224	231119
107	26531	231411
108	26882	232079
109	27209	232517
110	27334	231235
111	27631	231410
112	27761	230197
113	28104	230753
114	28440	231236
115	28646	230650
116	28780	229502
117	29056	229495
118	29350	229620
119	29545	228980
120	29793	228745
121	30176	229536
122	30697	231354
123	30782	229872
124	30865	228402
125	31155	228476
126	31202	226768
127	31316	225577
128	31576	225439
129	31980	226320
130	32209	225959
131	32366	225095
132	32556	224471
133	32702	223549
134	32903	223013
135	33027	221962
136	33316	222032
137	33604	222080
138	33905	222213
139	34077	221504
140	34129	220028
141	34254	219038
142	34388	218113
143	34577	217552
144	34716	216681
145	35019	216831
146	35072	215447
147	35380	215629
148	35674	215725
149	35863	215180
150	36168	215334
151	36246	214140
152	36546	214263
153	36668	213342
154	36699	211907
155	36996	212017
156	37259	211926
157	37552	212002
158	37895	212359
159	38187	212418
160	38481	212486
161	38878	213109
162	38994	212199
163	39344	212554
164	39422	211447
165	39499	210348
166	39803	210460
167	39855	209242
168	40109	209090
169	40186	208025
170	40301	207164
171	40427	206370
172	40486	205239
173	40610	204453
174	40915	204579
175	40962	203416
176	41249	203451
177	41521	203407
178	41808	203438
179	41884	202444
180	42135	202296
181	42435	202384
182	42552	201602
183	42842	201640
184	43141	201715
185	43332	201284
186	43641	201402
187	43952	201524
188	44128	201029
189	44424	201081
190	44708	201069
191	44993	201064
192	45290	201110
193	45400	200323
194	45707	200411
195	45833	199702
196	46157	199858
197	46456	199904
198	46767	199997
199	46887	199271
200	46962	198363
201	47084	197662
202	47387	197721
203	47436	196723
204	47753	196836
205	48047	196853
206	48127	195999
207	48177	195024
208	48297	194343
209	48386	193546
210	48590	193210
211	48924	193390
212	49158	193170
213	49466	193243
214	49765	193274
215	49815	192341
216	50110	192359
217	50405	192373
218	50581	191934
219	50886	191981
220	51181	191988
221	51366	191583
222	51651	191551
223	51967	191631
224	52015	190722
225	52331	190799
226	52401	189982
227	52592	189609
228	52916	189714
229	53187	189625
230	53459	189537
231	53583	188927
232	53897	188987
233	54062	188527
234	54376	188581
235	54462	187849
236	54785	187934
237	54866	187193
238	54982	186572
239	55292	186611
240	55599	186639
241	55789	186271
242	56092	186283
243	56358	186166
244	56622	186044
245	56887	185925
246	57208	185985
247	57260	185174
248	57547	185121
249	57641	184453
250	57946	184460
251	58122	184053
252	58222	183413
253	58518	183388
254	58700	183008
255	58806	182392
256	58879	181679
257	59167	181631
258	59455	181581
259	59535	180897
260	59665	180369
261	59947	180301
262	60280	180382
263	60569	180330
264	60869	180311
265	60920	179554
266	60969	178797
267	61282	178817
268	61391	178241
269	61439	177492
270	61639	177184
271	61818	176819
272	61961	176352
273	62243	176282
274	62363	175751
275	62571	175472
276	62903	175537
277	63186	175466
278	63500	175478
279	63608	174924
280	63893	174853
281	64050	174436
282	64363	174441
283	64413	173736
284	64491	173109
285	64622	172628
286	64714	172047
287	64840	171557
288	65122	171483
289	65337	171228
290	65407	170597
291	65605	170303
292	65908	170281
293	66170	170152
294	66224	169490
295	66478	169339
296	66616	168895
